StateName,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party name
Maharashtra,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT
Maharashtra,Wardha(8),AMAR SHARADRAO KALE,533106,81648,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Baramati(35),SUPRIYA SULE,732312,158333,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837,Nationalist Congress Party – Sharadchandra Pawar - NCPSP
Maharashtra,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479,Shiv Sena - SHS
Maharashtra,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650,Shiv Sena - SHS
Maharashtra,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144,Shiv Sena - SHS
Maharashtra,Thane(25),NARESH GANPAT MHASKE,734231,217011,Shiv Sena - SHS
Maharashtra,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48,Shiv Sena - SHS
Maharashtra,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615,Shiv Sena - SHS
Maharashtra,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426,Shiv Sena - SHS
Maharashtra,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784,Nationalist Congress Party - NCP
Maharashtra,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053,Independent - IND
Manipur,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801,Indian National Congress - INC
Manipur,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418,Indian National Congress - INC
Meghalaya,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910,Voice of the People Party - VOTPP
Meghalaya,Tura(2),SALENG A SANGMA,383919,155241,Indian National Congress - INC
Mizoram,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288,Zoram People’s Movement - ZPM
Nagaland,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984,Indian National Congress - INC
NCT OF Delhi,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325,Bharatiya Janata Party - BJP
NCT OF Delhi,North-East Delhi(2),MANOJ TIWARI,824451,138778,Bharatiya Janata Party - BJP
NCT OF Delhi,East Delhi(3),HARSH MALHOTRA,664819,93663,Bharatiya Janata Party - BJP
NCT OF Delhi,New Delhi(4),BANSURI SWARAJ,453185,78370,Bharatiya Janata Party - BJP
NCT OF Delhi,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849,Bharatiya Janata Party - BJP
NCT OF Delhi,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013,Bharatiya Janata Party - BJP
NCT OF Delhi,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333,Bharatiya Janata Party - BJP
Odisha,Bargarh(1),PRADEEP PUROHIT,716359,251667,Bharatiya Janata Party - BJP
Odisha,Sundargarh(2),JUAL ORAM,494282,138808,Bharatiya Janata Party - BJP
Odisha,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836,Bharatiya Janata Party - BJP
Odisha,Keonjhar(4),ANANTA NAYAK,573923,97042,Bharatiya Janata Party - BJP
Odisha,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334,Bharatiya Janata Party - BJP
Odisha,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156,Bharatiya Janata Party - BJP
Odisha,Bhadrak(7),AVIMANYU SETHI,573319,91544,Bharatiya Janata Party - BJP
Odisha,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587,Bharatiya Janata Party - BJP
Odisha,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567,Bharatiya Janata Party - BJP
Odisha,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664,Bharatiya Janata Party - BJP
Odisha,Kalahandi(11),MALVIKA DEVI,544303,133813,Bharatiya Janata Party - BJP
Odisha,Nabarangpur(12),BALABHADRA MAJHI,481396,87536,Bharatiya Janata Party - BJP
Odisha,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371,Bharatiya Janata Party - BJP
Odisha,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077,Bharatiya Janata Party - BJP
Odisha,Kendrapara(15),BAIJAYANT PANDA,615705,66536,Bharatiya Janata Party - BJP
Odisha,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696,Bharatiya Janata Party - BJP
Odisha,Puri(17),SAMBIT PATRA,629330,104709,Bharatiya Janata Party - BJP
Odisha,Bhubaneswar(18),APARAJITA SARANGI,512519,35152,Bharatiya Janata Party - BJP
Odisha,Aska(19),ANITA SUBHADARSHINI,494226,99974,Bharatiya Janata Party - BJP
Odisha,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476,Bharatiya Janata Party - BJP
Odisha,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744,Indian National Congress - INC
Puducherry,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516,Indian National Congress - INC
Punjab,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861,Indian National Congress - INC
Punjab,Amritsar(2),GURJEET SINGH AUJLA,255181,40301,Indian National Congress - INC
